OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime
Hydroides elegans,Hydroides elegans,Serpulidae,Sabellida,Polychaeta,Annelida,Hydroides,N,21,-157,P,45,4.5
Hyalinoecia araucana,Hyalinoecia araucana,Onuphidae,Eunicida,Polychaeta,Annelida,Hyalinoecia,S,-37,-73,L,300,NA
Asterina stellifera,Asterina stellifera,Asterinidae,Valvatida,Asteroidea,Echinodermata,Asterina,S,-22,-42,P,90,NA
Glycera convoluta,Glycera tridactyla,Glyceridae,Phyllodocida,Polychaeta,Annelida,Glycera,N,44.667066,-1,P,130,NA
Glycera tridactyla,Glycera tridactyla,Glyceridae,Phyllodocida,Polychaeta,Annelida,Glycera,N,44.667066,-1,P,140,NA
Nereis irrorata,Neanthes nubila,Nereidae,Phyllodocida,Polychaeta,Annelida,Neanthes,N,44.667066,-1,P,210,NA
Parapionosyllis gestans,Parapionosyllis gestans,Syllidae,Phyllodocida,Polychaeta,Annelida,Parapionosyllis,N,44.667066,-1,L,170,NA
Pholoe synophtalmica,Pholoe inornata,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,44.667066,-1,P,78,NA
Syllis variegata,Syllis variegata,Syllidae,Phyllodocida,Polychaeta,Annelida,Syllis,N,44.666577,-1,P,75,NA
Lumbrinereis impatiens,Scoletoma impatiens,Lumbrineridae,Eunicida,Polychaeta,Annelida,Scoletoma,N,44.666577,-1,L,220,NA
Nicolea zostericola,Nicolea zostericola,Terebellidae,Terebellida,Polychaeta,Annelida,Nicolea,N,42.42371,-71,L,250,NA
Lagisca extenuata,Harmothoe extenuata,Polynoidae,Phyllodocida,Polychaeta,Annelida,Harmothoe,N,44.666577,-1,P,95,NA
Clymenura clypeata,Leiochone leiopygos,Maldanidae,,Polychaeta,Annelida,Leiochone,N,44.666577,-1,L,250,NA
