video_id,time_start,obs_duration,island,site,pct_coral,species,max_n,observer,notes
BIOT_7097_SALO_038_BOD_RIG4_L_2,0:00,17:43,Ile Boddam,38,35,Triaenodon obesus,3,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_2,0:00,17:43,Ile Boddam,38,35,Lutjanus bohar,6,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_2,0:00,17:43,Ile Boddam,38,35,Plectropomus laevis,3,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_2,0:00,17:43,Ile Boddam,38,35,Cephalopholis argus,1,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_2,0:00,17:43,Ile Boddam,38,35,Aphareus furca,1,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_4,0:00,3:17,Ile Boddam,38,35,Aethaloperca rogaa,9,Mariana Rivera-Higueras,
BIOT_7097_NELS_060_RIG2_L_3,10:00,7:43,Nelson's Island,60,15,Lethrinus enigmaticus,1,Mariana Rivera-Higueras,
BIOT_7097_NELS_060_RIG2_L_2,0:00,17:43,Nelson's Island,60,15,Caranx melampygus,1,Mariana Rivera-Higueras,
BIOT_7097_NELS_060_RIG2_L_4,0:00,7:40,Nelson's Island,60,15,Plectropomus laevis,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_3,10:00,7:43,Ile Carre Pate,95,40,Nebrius ferrugineus,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_4,0:00,15:23,Ile Carre Pate,95,40,Cephalopholis argus,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_4,0:00,15:23,Ile Carre Pate,95,40,Melichthys niger,3,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_4,0:00,15:23,Ile Carre Pate,95,40,Caranx melampygus,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_4,0:00,15:23,Ile Carre Pate,95,40,Lethrinus nebulosus,1,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_2,0:00,12:00,Ile Carre Pate,95,40,Carcharhinus amblyrhynchos,2,Mariana Rivera-Higueras,
BIOT_7097_EGMT_095_RIG6_L_2,0:00,12:00,Ile Carre Pate,95,40,Lutjanus bohar,1,Mariana Rivera-Higueras,
