Species,Diet,Habitat,Territorial,Sizeclass,ID,Big Vickis2011,Big Vickis2015,Blue Lagoon2011,Blue Lagoon2015,Bommie Bay2011,Bommie Bay2015,Coconut2011,Coconut2015,Granite2011,Granite2015,LTMP12011,LTMP12015,LTMP32011,LTMP32015,Monkey's Butt2011,Monkey's Butt2015,North Reef2011,North Reef2015,Palfrey Lagoon2011,Palfrey Lagoon2015,Pidgin Point2011,Pidgin Point2015,Resort2011,Resort2015,Steve's Gully2011,Steve's Gyllu2015,Washing Machine2011,Washing Machine2015
cha.klei,InvSess,Hard,Nonterritorial,Small,cha.klei,0.032654067,0,0,0,0.288617618,0.019548852,0.104678206,0,0.16410759,0,0.060820992,0.082697146,0.055544347,0,0,0,0.039097704,0,0,0,0,0.039097704,0.06506179,0.045602645,0.029066295,0,0.23557652,0
cha.line,Omniv,Hard,Nonterritorial,Medium,cha.line,0,0,0,0,0,0,0,0,0,0.090357974,0,0.066350557,0,0.276833659,0,0.066350557,0,0,0,0,0,0,0,0,0.171827378,0,0,0
cha.lunu,InvSess,Hard,Nonterritorial,Medium,cha.lunu,0,0,0,0,0,0.07355732,0.114272639,0.00277986,0,0,0,0,0,0.122369181,0,0,0,0,0,0,0.111572408,0.065308134,0,0,0,0,0,0
cha.mela,InvSess,Hard,Nonterritorial,Small,cha.mela,0.026645649,0.775138285,0.026645649,0,0.11697262,0.019925994,0.035618705,0.026645649,0.586011912,0,0.119604046,0.084195827,0,0.109334198,0.055585867,0.293429206,0,0,0,0,0.209953905,0.135979847,0,0,0.090326971,0.265887767,0,0.061386753
cha.mert,Omniv,Hard,Nonterritorial,Small,cha.mert,0,0.017798246,0,0,0,0,0,0.017798246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017798246,0,0,0,0
cha.pelw,InvSess,Hard,Nonterritorial,Small,cha.pelw,0,0,0,0,0,0,0,0,0,0,0.076943698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084872282,0
cha.pleb,InvSess,Hard,Nonterritorial,Small,cha.pleb,0,0.056346711,0.039703611,0,0,0,0.013005609,0,0,0,0,0,0.027699357,0.027699357,0,0,0,0,0.02203745,0.027699357,0,0.11740733,0,0.01715463,0,0,0.055398713,0
cha.raff,InvSess,Hard,Nonterritorial,Small,cha.raff,0,0.100775635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cha.rain,InvSess,Hard,Nonterritorial,Small,cha.rain,0.073369386,0.050387818,0,0.032654067,0.466002979,0.058216387,0.02556232,0.050387818,0.28764462,0,0.151650485,0.117511053,0.538901384,0.040903253,0.123757204,0.040903253,0,0.032654067,0,0,0,0,0,0.040903253,0.256559559,0.100547572,0,0
cha.reti,InvSess,Hard,Nonterritorial,Medium,cha.reti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223144816,0,0,0,0,0,0.100775635
cha.spec,InvSess,Hard,Nonterritorial,Medium,cha.spec,0,0.088502648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108051205,0,0,0.380680361,0.091133021,0,0,0,0,0,0
cha.tlis,InvSess,Hard,Territorial,Medium,cha.tlis,0,0,0,0,0,0,0,0.100775635,0,0,0.01171317,0,0.082764315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008256626,0
